id,created_at,name,screen_name,location,description,followers_count,friends_count
733328821504577536,2016-05-19 16:09:50,NEOLAND,NeolandStudio,"Madrid, Comunidad de Madrid","👋Somos una escuela especializada en el sector digital 🤖 Impartimos #Bootcamps de #UX, #FullStack y #DataScience en Madrid y Barcelona.   👩‍💻👨‍💻 ¿Te unes?",469,120
1088468538287968258,2019-01-24 16:08:17,FullStack - Informática para todos,fullstack_es,,🧠💻Divulgación informática a todos los niveles.,228,54
407310786,2011-11-07 22:38:34,Laura Lacarra,LauraLacarra,Madrid - Zaragoza,Tech Speaker • Tech organizer • Hard worker • blogger • #womentechmaker • crazy 🤘 • Diversity • BI & Big Data Tech at @Telefonica,5761,687
283000128,2011-04-16 11:03:27,Ana Laguna Pradas,alagunapradas,Madrid,Data Scientist #DataScience #MachineLearning #InteligenciaArtificial  Mum😋 SoGooD²ata Founder #Data4SocialGood NGO,455,289
1067729167477805056,2018-11-28 10:37:25,UC3M-Santander Big Data Institute (IBiDat),BigData_uc3m,"Getafe, Madrid","Promoting interdisciplinary research in analyzing Big Data. We are a partnership between @uc3m and @bancosantander  #IBiDat
instituto.bigdata@uc3m.es",308,188
399944230,2011-10-28 08:35:21,Cristina Aranda,cris_aranda_,,"My passions: Language, Internet, People & Social (LIPS) Ph.D. in Linguistics @Taiger_CO @MujeresTech @MeridianIntl #HumanCentricBusiness #Innovation #NLP #AI",5574,2580
2389069947,2014-03-06 19:15:03,Databeers,databeers,,"love data, love beer, in Madrid? https://t.co/efWl00n6Oe by @gmiritello + @msoriaro + @dani_agent + @llorentealex + @ighbalss + @pointline_ + @doblepensador",4429,691
64863875,2009-08-11 23:34:07,Platzi,platzi,"USA, España & Latinoamerica","Platzi es el más grande esfuerzo de educación online en español, llevando conocimiento profesional de calidad y accesible💪💚.  #NuncaParesDeAprender",106077,155
551160897,2012-04-11 15:25:51,Festival Cine Alemán,cineeskino,Madrid,La #einundzwanzig edición del 4 al 9 de junio en Palacio de la Prensa,1401,526
21293341,2009-02-19 12:18:10,Mutua Madrid Open,MutuaMadridOpen,"#MMOPEN  · Madrid, Spain",#MMOPEN will take place from the 1st to 10th of May 2020. El #MMOPEN tendrá lugar del 1 al 10 de mayo de 2020.,72881,550
